               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.12696,            0.035595,                   0,            0.014752,            0.033333,           0.0012078,          0.00024156,             0.12622,            0.029984,                   0,              0.0973,              0.0003,              0.0003
                   1,             0.12569,            0.034379,                   0,          0.00096409,            0.066667,          0.00083002,          0.00016934,             0.12444,            0.027061,                   0,            0.093677,           0.0006769,           0.0006769
                   2,             0.12222,            0.032514,                   0,              0.0005,                 0.1,          0.00034249,          4.4849e-05,             0.12152,            0.024878,                   0,            0.090027,           0.0010274,           0.0010274
                   3,             0.11984,            0.031444,                   0,          0.00014493,            0.033333,          7.4888e-05,          7.4888e-06,             0.11701,             0.02277,                   0,            0.086351,           0.0013515,           0.0013515
                   4,             0.11385,            0.027102,                   0,          0.00051282,             0.13333,          0.00031577,          0.00012531,             0.11068,            0.021254,                   0,            0.082649,           0.0016492,           0.0016492
                   5,             0.11451,             0.02617,                   0,          0.00035714,                 0.1,           0.0002046,           3.353e-05,             0.10786,            0.020998,                   0,            0.078921,           0.0019205,           0.0019205
                   6,             0.11476,            0.025844,                   0,          0.00055556,             0.16667,          0.00032415,           7.734e-05,             0.10205,            0.020058,                   0,            0.075165,           0.0021654,           0.0021654
                   7,             0.10974,            0.025632,                   0,          0.00077778,             0.23333,          0.00052832,          0.00013429,            0.097291,            0.019722,                   0,            0.071384,           0.0023839,           0.0023839
                   8,              0.1069,            0.024565,                   0,          0.00055556,             0.16667,          0.00041959,          0.00013975,            0.095504,            0.019255,                   0,            0.067576,            0.002576,            0.002576
                   9,             0.10368,            0.022626,                   0,          0.00055556,             0.16667,          0.00032548,            6.97e-05,            0.096003,            0.018345,                   0,            0.063742,           0.0027417,           0.0027417
                  10,             0.10663,             0.02337,                   0,          0.00044444,             0.13333,          0.00026274,          2.6274e-05,            0.093533,            0.018175,                   0,            0.059881,            0.002881,            0.002881
                  11,             0.10725,            0.023111,                   0,          0.00033333,                 0.1,          0.00018527,          2.4291e-05,             0.09257,            0.017801,                   0,            0.055994,           0.0029939,           0.0029939
                  12,             0.10025,            0.020067,                   0,               0.001,                 0.3,          0.00068603,          0.00010545,            0.089711,            0.017763,                   0,             0.05208,           0.0030804,           0.0030804
                  13,            0.098889,            0.024256,                   0,          0.00088889,             0.26667,          0.00060167,          0.00010265,            0.089036,            0.017423,                   0,            0.048141,           0.0031405,           0.0031405
                  14,            0.096597,            0.022224,                   0,           0.0014444,             0.43333,           0.0012316,          0.00018816,            0.087611,            0.017355,                   0,            0.044174,           0.0031742,           0.0031742
                  15,            0.098963,            0.023833,                   0,           0.0014444,             0.43333,           0.0012316,          0.00018816,            0.087611,            0.017355,                   0,            0.040182,           0.0031815,           0.0031815
                  16,            0.096906,            0.020394,                   0,           0.0013333,                 0.4,           0.0012656,           0.0002503,            0.086289,            0.017312,                   0,            0.036162,           0.0031624,           0.0031624
                  17,             0.09271,            0.020218,                   0,           0.0012222,             0.36667,           0.0010417,          0.00029517,            0.084147,            0.017375,                   0,            0.032117,           0.0031169,           0.0031169
                  18,            0.093695,            0.021612,                   0,           0.0012222,             0.36667,           0.0010417,          0.00029517,            0.084147,            0.017375,                   0,            0.028045,            0.003045,            0.003045
                  19,            0.091507,            0.022686,                   0,           0.0013333,                 0.4,           0.0020036,          0.00035335,            0.082234,            0.017412,                   0,            0.023947,           0.0029467,           0.0029467
                  20,            0.090186,             0.02293,                   0,           0.0021111,             0.63333,           0.0045663,          0.00083455,            0.079052,            0.017661,                   0,            0.019822,            0.002822,            0.002822
                  21,            0.093818,            0.025554,                   0,           0.0021111,             0.63333,           0.0045663,          0.00083455,            0.079052,            0.017661,                   0,            0.015671,           0.0026709,           0.0026709
                  22,            0.087506,            0.021347,                   0,           0.0023333,                 0.7,           0.0058962,           0.0014554,            0.075709,            0.017887,                   0,            0.011493,           0.0024934,           0.0024934
                  23,            0.090035,            0.021436,                   0,           0.0023333,                 0.7,           0.0058962,           0.0014554,            0.075709,            0.017887,                   0,           0.0072895,           0.0022895,           0.0022895
                  24,            0.091133,            0.023215,                   0,           0.0026667,                 0.8,           0.0074368,           0.0024691,             0.07341,            0.017921,                   0,           0.0030592,           0.0020592,           0.0020592
                  25,            0.084642,            0.026348,                   0,           0.0026667,                 0.8,           0.0074368,           0.0024691,             0.07341,            0.017921,                   0,             0.00175,             0.00175,             0.00175
                  26,            0.083511,            0.020606,                   0,               0.003,                 0.9,             0.01616,           0.0037567,            0.071379,            0.017971,                   0,             0.00175,             0.00175,             0.00175
                  27,            0.082351,            0.020397,                   0,               0.003,                 0.9,             0.01616,           0.0037567,            0.071379,            0.017971,                   0,             0.00142,             0.00142,             0.00142
                  28,             0.07988,            0.022571,                   0,           0.0028889,             0.86667,            0.016587,           0.0046898,            0.069614,            0.018009,                   0,             0.00109,             0.00109,             0.00109
                  29,            0.081818,            0.025267,                   0,           0.0028889,             0.86667,            0.016587,           0.0046898,            0.069614,            0.018009,                   0,             0.00076,             0.00076,             0.00076
