               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.13826,            0.034285,            0.062105,                   0,                   0,                   0,                   0,            0.080963,            0.022805,            0.044097,                 0.1,                   0,                   0
                   0,             0.13826,            0.034285,            0.062105,                   0,                   0,                   0,                   0,            0.080963,            0.022805,            0.044097,                 0.1,                   0,                   0
                   0,             0.13347,            0.027381,            0.065405,                   0,                   0,                   0,                   0,             0.08186,            0.023198,             0.04362,                 0.1,                   0,                   0
                   0,             0.13078,            0.028526,             0.05352,                   0,                   0,                   0,                   0,             0.13281,             0.02161,            0.054002,                 0.1,                   0,                   0
                   0,             0.13044,            0.028564,            0.053199,                   0,                   0,                   0,                   0,             0.13254,            0.021655,            0.053897,                 0.1,                   0,                   0
                   1,             0.13207,            0.026398,            0.053252,                   0,                   0,                   0,                   0,             0.13643,            0.019782,            0.050534,             0.09909,            9.01e-05,            9.01e-05
                   2,             0.13221,            0.025702,            0.048953,                   0,                   0,                   0,                   0,             0.13627,             0.01985,            0.050128,             0.09816,           0.0001604,           0.0001604
                   3,             0.12516,            0.025828,             0.05397,                   0,                   0,                   0,                   0,             0.13584,            0.019872,            0.049998,            0.097211,           0.0002109,           0.0002109
                   4,             0.12664,            0.026242,            0.053727,                   0,                   0,                   0,                   0,             0.13525,            0.019933,            0.049533,            0.096242,           0.0002416,           0.0002416
                   5,             0.12874,            0.025161,            0.049315,                   0,                   0,                   0,                   0,             0.13443,             0.02002,            0.048991,            0.095253,           0.0002525,           0.0002525
                   6,             0.12694,            0.026248,            0.049386,                   0,                   0,                   0,                   0,              0.1337,            0.020081,            0.048147,            0.094244,           0.0002436,           0.0002436
                   7,             0.13133,            0.025872,            0.049406,                   0,                   0,                   0,                   0,             0.13299,            0.020172,            0.047663,            0.093215,           0.0002149,           0.0002149
                   8,             0.12289,            0.026308,            0.049394,                   0,                   0,                   0,                   0,             0.13237,            0.020202,            0.047201,            0.092166,           0.0001664,           0.0001664
                   9,             0.12388,            0.026724,            0.047866,                   0,                   0,                   0,                   0,             0.13188,              0.0202,            0.046608,            0.091098,            9.81e-05,            9.81e-05
                   0,            0.062717,            0.019882,            0.023981,                   0,                   0,                   0,                   0,             0.13456,            0.016353,            0.044192,              0.0991,              0.0001,              0.0001
                   1,             0.12701,            0.021902,            0.048254,                   0,                   0,                   0,                   0,             0.13406,            0.016449,            0.044564,             0.09729,           0.0002901,           0.0002901
                   2,             0.10225,            0.020921,            0.037782,                   0,                   0,                   0,                   0,             0.13363,            0.016423,             0.04392,            0.095467,            0.000467,            0.000467
